"","Entity","Year","Oil","Coal_consumption.Coal","Gas_consumption.Gas"
"926","France",2015,49.47070119693,5.44597253877678,22.7617570120863
"927","France",2016,48.9715034351729,5.2817335312674,24.7893521478939
"928","France",2017,49.0175387664938,5.98547815492806,24.8533405780115
"929","France",2018,48.7571180150972,5.39978729362527,23.6592078478095
"930","Germany",1981,73.8078538690019,77.0308377630973,26.9137535115105
"931","Germany",1982,69.9366997792778,75.3705666401458,25.0327403132383
"932","Germany",1983,68.623031374566,78.2754480648065,26.077362289425
"933","Germany",1984,68.4741021472156,80.8794772534178,27.2635209593578
"934","Germany",1985,70.5589836791433,80.4406437213613,26.9444618038146
"935","Germany",1986,74.2255667043673,75.8984627920726,26.8267583641431
"936","Germany",1987,72.0778831649918,75.3829003794094,29.0071425815907
"937","Germany",1988,71.8507328242325,74.2174833222659,28.4500310105423
"938","Germany",1989,67.202882964658,75.0616700228833,28.9866335539027
"939","Germany",1990,70.0060149265059,69.6598148101298,29.002707010398
"940","Germany",1991,72.8058861003132,60.8489388735832,30.3065001069303
"941","Germany",1992,73.0082463867516,54.6776976351563,29.7869889824044
"942","Germany",1993,73.7139857921328,51.2848246876127,31.3370550423355
"943","Germany",1994,72.6819733565639,49.4999039501194,31.7511164994495
"944","Germany",1995,72.3704544661413,46.7615047757552,34.4907504406019
"945","Germany",1996,73.4341746519925,46.4542660961094,38.5086321381142
"946","Germany",1997,72.9264190771475,44.9704017985479,36.7537807589774
"947","Germany",1998,73.0020010116853,43.8932761986659,37.0888173654534
"948","Germany",1999,70.8193407090424,42.2667893942745,36.9859565057132
"949","Germany",2000,69.4532656812441,43.875935047481,36.6738123610275
"950","Germany",2001,70.3153711257066,43.9729139882633,38.6492376065018
"951","Germany",2002,67.8973184927504,44.0269299809898,38.5510516955908
"952","Germany",2003,66.5055190761155,44.7108551964124,38.9809468963658
"953","Germany",2004,65.7198697579056,43.5685280969062,39.1636822379541
"954","Germany",2005,64.4119378848223,41.7067273801208,39.8284103649454
"955","Germany",2006,64.3908807691785,43.4495355680479,40.6550504908165
"956","Germany",2007,58.4420238069169,44.6594675927065,39.259123635041
"957","Germany",2008,62.130235154746,41.379982138011,39.7456725528679
"958","Germany",2009,59.6219792852522,37.1254977873918,37.5708823150455
"959","Germany",2010,60.4688949360981,39.9151273708043,39.2265579571183
"960","Germany",2011,58.471541580093,40.5516968437716,36.0021025032156
"961","Germany",2012,58.036647252788,41.6171686858582,36.0609338915441
"962","Germany",2013,59.1734375538966,42.7259344124966,37.6854165126765
"963","Germany",2014,57.3842228606507,40.9235359116022,32.6607857581338
"964","Germany",2015,57.0696094489344,40.2778069864404,33.8724980742661
"965","Germany",2016,57.9597953743582,38.978100591284,37.1785166800496
"966","Germany",2017,58.8854626256333,36.4072080137434,38.212695685838
"967","Germany",2018,55.7483947146721,34.9367691641403,37.180910447043
"968","Greece",1981,52.1636975308642,16.8893444444444,0
"969","Greece",1982,51.9994761661733,17.0130150045932,0.309952026130448
"970","Greece",1983,49.5763066626103,20.7280778825677,0.293519926985093
"971","Greece",1984,50.5230864259782,22.0106780960065,0.321117386042759
"972","Greece",1985,51.0968797150883,25.3904554574639,0.300210674157303
"973","Greece",1986,51.6121120319521,24.1174729905142,0.409335996005991
"974","Greece",1987,55.8279968181366,27.417982300885,0.465347519140897
"975","Greece",1988,57.4065338085338,30.639367983368,0.555717255717256
"976","Greece",1989,62.9015847774715,32.7614214257582,0.557404489956676
"977","Greece",1990,67.2953478893204,32.9958694617641,0.565558380598474
"978","Greece",1991,67.4670656891091,31.4703916944256,0.553873000484731
"979","Greece",1992,67.8429167901037,32.506491993858,0.506660268714011
"980","Greece",1993,68.7364173080998,32.14070509588,0.36960318967154
"981","Greece",1994,69.6302944894829,31.8738114498826,0.187101925786754
"982","Greece",1995,71.9538615902252,31.4679981507538,0.170938023450586
"983","Greece",1996,74.3348585424522,30.3691733441654,0.190518833087149
"984","Greece",1997,74.4383415023045,32.4848306891619,0.656473500825234
"985","Greece",1998,77.5105546893166,33.7850142989973,2.67298050683683
"986","Greece",1999,75.2059318972128,32.3271795375408,4.7672598476605
"987","Greece",2000,78.1771593698372,34.0924111997834,6.36769110990796
"988","Greece",2001,79.0394974918437,35.0739900679001,6.25482
"989","Greece",2002,79.5060742487982,33.6000959195135,6.69813092827759
"990","Greece",2003,82.4523219721786,33.6695746073625,7.54725900347625
"991","Greece",2004,80.9618775317991,34.4645227385848,8.28455974365821
"992","Greece",2005,81.7811022947669,34.0270392876615,8.34895322939866
"993","Greece",2006,86.4168662698226,31.4480748295038,9.87883772910148
"994","Greece",2007,87.7249086337165,33.3506293543165,12.5831045708741
"995","Greece",2008,83.9483290062283,31.620408798913,13.2152616820252
"996","Greece",2009,79.8540927425774,32.1954108206953,11.1792311502536
"997","Greece",2010,72.9386260883323,30.2553364761205,12.331391756554
"998","Greece",2011,69.3047493323135,30.5345075427094,15.2889068936435
"999","Greece",2012,61.5014142498599,31.6085730080698,14.114223269848
"1000","Greece",2013,58.0552035936427,27.235857071781,12.5039506035421
"1001","Greece",2014,57.6920823962318,26.2735100420521,9.56860905168424
"1002","Greece",2015,59.8699581463068,22.1000827136961,10.3724171594747
"1003","Greece",2016,60.2637204262962,17.1918606421102,13.5582477626001
"1004","Greece",2017,62.6005960291841,18.9996302639796,16.4222537609991
"1005","Greece",2018,61.6158865339856,18.1936554411709,16.1510397262878
"1006","Hong Kong",1981,58.649979686243,0.294726468222043,0
"1007","Hong Kong",1982,56.1860846184263,7.40843416370107,0
"1008","Hong Kong",1983,49.292603817686,17.1419041682898,0
"1009","Hong Kong",1984,45.0345988863287,22.0594838709677,0
"1010","Hong Kong",1985,41.7136553811235,26.9010017022886,0
"1011","Hong Kong",1986,40.1161717848502,30.6315108877722,0
"1012","Hong Kong",1987,38.687727904849,37.7386583714547,0
"1013","Hong Kong",1988,43.6442256613281,42.9378679143423,0
"1014","Hong Kong",1989,45.810846617074,45.279137088204,0
"1015","Hong Kong",1990,47.4421820879888,40.1429916201117,0
"1016","Hong Kong",1991,46.8434698275862,42.7775462068966,0
"1017","Hong Kong",1992,59.4593911338448,44.8448040920716,0
"1018","Hong Kong",1993,61.271693319838,51.381528340081,0
"1019","Hong Kong",1994,64.5910711666667,36.264666,0
"1020","Hong Kong",1995,68.1807294543064,38.5510414201183,0.179850443786982
"1021","Hong Kong",1996,65.7070719366311,28.1759592628516,11.2135866634336
"1022","Hong Kong",1997,63.8573285714286,23.3463942857143,17.1923404285714
"1023","Hong Kong",1998,60.1514162381175,28.4926844319776,15.8348705469846
"1024","Hong Kong",1999,62.9715766636001,23.9633547991414,17.1801124195032
"1025","Hong Kong",2000,64.7894570087799,27.4930366333636,15.3334842098093
"1026","Hong Kong",2001,76.3400889722431,43.0424606151538,15.3380521215304
"1027","Hong Kong",2002,82.9720940017905,33.2973739182334,14.4910662623098
"1028","Hong Kong",2003,83.2108976951673,42.0840148698885,9.28643954052045
"1029","Hong Kong",2004,97.7041424759081,39.1790956263899,13.375763573017
