Country;Year;Value
Japan;2007;61.502,8
Japan;2008;58.215,0
Japan;2009;56.072,1
Japan;2010;61.068,8
Japan;2011;60.981,5
Japan;2012;59.706,8
Japan;2013;57.880,8
Japan;2014;58.022,4
Japan;2015;55.874,3
Japan;2016;52.834,2
Japan;2017;37.238,0
Japan;2018;
Japan;2019;
Korea;1999;1.436,3
Korea;2000;5.428,7
Korea;2001;7.765,9
Korea;2002;10.153,6
Korea;2003;13.690,8
Korea;2004;16.627,2
Korea;2005;19.556,3
Korea;2006;19.162,9
Korea;2007;19.093,0
Korea;2008;17.514,9
Korea;2009;17.995,7
Korea;2010;20.409,1
Korea;2011;20.630,1
Korea;2012;22.641,1
Korea;2013;25.329,3
Korea;2014;25.540,8
Korea;2015;24.589,1
Korea;2016;20.775,0
Korea;2017;14.180,7
Korea;2018;
Korea;2019;
Latvia;1999;0,3
Latvia;2000;13,3
Latvia;2001;5,2
Latvia;2002;9,2
Latvia;2003;9,9
Latvia;2004;9,0
Latvia;2005;16,1
Latvia;2006;17,8
Latvia;2007;9,7
Latvia;2008;7,1
Latvia;2009;17,5
Latvia;2010;6,7
Latvia;2011;12,9
Latvia;2012;15,1
Latvia;2013;10,9
Latvia;2014;9,9
Latvia;2015;9,5
Latvia;2016;12,9
Latvia;2017;6,2
Latvia;2018;
Latvia;2019;
Lithuania;1999;5,0
Lithuania;2000;7,5
Lithuania;2001;5,0
Lithuania;2002;7,2
Lithuania;2003;20,9
Lithuania;2004;18,9
Lithuania;2005;12,8
Lithuania;2006;6,6
Lithuania;2007;7,2
Lithuania;2008;21,2
Lithuania;2009;15,2
Lithuania;2010;9,9
Lithuania;2011;13,1
Lithuania;2012;41,4
Lithuania;2013;14,8
Lithuania;2014;27,7
Lithuania;2015;21,1
Lithuania;2016;17,8
Lithuania;2017;14,3
Lithuania;2018;
Lithuania;2019;
Luxembourg;1999;6,3
Luxembourg;2000;33,8
Luxembourg;2001;61,5
Luxembourg;2002;49,2
Luxembourg;2003;57,6
Luxembourg;2004;78,8
Luxembourg;2005;57,1
Luxembourg;2006;71,5
Luxembourg;2007;54,0
Luxembourg;2008;73,1
Luxembourg;2009;65,1
Luxembourg;2010;68,0
Luxembourg;2011;83,8
Luxembourg;2012;71,6
Luxembourg;2013;68,6
Luxembourg;2014;69,2
Luxembourg;2015;79,4
Luxembourg;2016;70,4
Luxembourg;2017;33,6
Luxembourg;2018;
Luxembourg;2019;
Mexico;1999;20,5
Mexico;2000;49,7
Mexico;2001;168,3
Mexico;2002;152,0
Mexico;2003;188,1
Mexico;2004;187,8
Mexico;2005;229,8
Mexico;2006;191,4
Mexico;2007;216,2
Mexico;2008;248,0
Mexico;2009;218,8
Mexico;2010;257,0
Mexico;2011;260,2
Mexico;2012;303,2
Mexico;2013;301,7
Mexico;2014;361,4
Mexico;2015;395,6
Mexico;2016;409,6
Mexico;2017;317,4
Mexico;2018;
Mexico;2019;
Netherlands;1999;688,7
Netherlands;2000;2.276,4
Netherlands;2001;2.590,4
Netherlands;2002;3.183,8
Netherlands;2003;3.390,3
Netherlands;2004;3.476,3
Netherlands;2005;3.263,3
Netherlands;2006;3.272,4
Netherlands;2007;2.988,6
Netherlands;2008;3.251,4
Netherlands;2009;3.019,8
Netherlands;2010;2.751,7
Netherlands;2011;2.891,9
Netherlands;2012;3.004,3
Netherlands;2013;3.033,6
Netherlands;2014;3.254,1
Netherlands;2015;3.109,5
Netherlands;2016;2.570,8
Netherlands;2017;1.148,8
Netherlands;2018;
Netherlands;2019;
New Zealand;1999;107,0
New Zealand;2000;358,8
New Zealand;2001;352,8
New Zealand;2002;390,3
New Zealand;2003;416,3
New Zealand;2004;386,3
New Zealand;2005;361,2
New Zealand;2006;400,8
New Zealand;2007;410,1
New Zealand;2008;397,7
New Zealand;2009;399,5
New Zealand;2010;375,9
New Zealand;2011;356,2
New Zealand;2012;461,8
New Zealand;2013;411,2
New Zealand;2014;436,7
New Zealand;2015;329,1
New Zealand;2016;256,1
New Zealand;2017;127,8
New Zealand;2018;
New Zealand;2019;
Norway;1999;114,8
Norway;2000;447,3
Norway;2001;442,6
Norway;2002;512,9
Norway;2003;483,4
Norway;2004;559,8
Norway;2005;598,9
Norway;2006;636,4
Norway;2007;671,4
Norway;2008;641,0
Norway;2009;721,5
Norway;2010;708,1
Norway;2011;696,8
Norway;2012;735,9
Norway;2013;768,4
Norway;2014;719,0
Norway;2015;663,9
Norway;2016;666,1
Norway;2017;337,6
Norway;2018;
Norway;2019;
Poland;1999;14,4
Poland;2000;44,9
Poland;2001;70,0
Poland;2002;90,9
Poland;2003;102,9
Poland;2004;124,2
Poland;2005;115,2
Poland;2006;105,4
Poland;2007;141,4
Poland;2008;138,7
Poland;2009;171,8
Poland;2010;237,9
Poland;2011;231,9
Poland;2012;332,6
Poland;2013;338,5
Poland;2014;372,4
Poland;2015;446,1
Poland;2016;399,4
Poland;2017;287,1
Poland;2018;
Poland;2019;
Portugal;1999;7,8
Portugal;2000;21,0
Portugal;2001;34,4
Portugal;2002;31,5
Portugal;2003;40,3
Portugal;2004;49,7
Portugal;2005;84,6
Portugal;2006;75,9
Portugal;2007;108,0
Portugal;2008;86,7
Portugal;2009;91,6
Portugal;2010;87,1
