Title,Latitude,Longitude,"Company Size","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Includes Scopes,","Source (URL)","Source (Text)","Climate Ambition Alliance","Published Net Zero Plan","Reporting Initiatives"
"BNP Paribas",48.87148590,2.33713110,"$83,973,700,000",2020,"In Policy Document",Yes,No,No,No,https://cib.bnpparibas.com/our-news/bnp-paribas-commits-to-become-carbon-neutral-by-end-2017_a-33-911.html,PR,No,Yes,"CDP, SBTi"
Unilever,51.92442010,4.47773260,"$60,167,300,000",2030,"In Policy Document",Yes,Yes,Yes,No,https://www.unilever.com/sustainable-living/reducing-environmental-impact/greenhouse-gases/how-were-becoming-carbon-positive-in-our-operations/,PR,Yes,Yes,"CDP, SBTi"
ArcelorMittal,49.61162100,6.13193460,"$76,033,000,000",2050,"In Policy Document",Yes,"Unclear or Undecided",Yes,"Unclear or Undecided",https://corporate.arcelormittal.com/media/press-releases/arcelormittal-sets-2050-group-carbon-emissions-target-of-net-zero,PR,No,Yes,CDP
Sony,35.65808130,139.75150770,"$78,157,700,000",2050,"In Policy Document",Yes,No,No,No,https://www.sony.net/SonyInfo/csr/eco/RoadToZero/gm_en.html,PR,No,Yes,"CDP, SBTi"
"Eni SpA",41.90278350,12.49636550,"$90,799,800,000",2030,"In Policy Document",Yes,No,No,No,https://www.eni.com/en_IT/investors/strategy/decarbonization-sustainability.page,PR,No,Yes,"CDP, SBTi"
Bosch,48.79897510,9.06577130,"$92,601,900,000",2020,"In Policy Document",Yes,No,No,Yes,https://www.bosch.com/company/sustainability/environment/,PR,No,Yes,"CDP, SBTi"
"Bank of America",35.22708690,-80.84312670,"$110,584,000,000",2020,"In Policy Document",Yes,No,Yes,No,http://media.corporate-ir.net/media_files/IROL/71/71595/BOAML_AR2018.pdf,PR,No,Yes,CDP
Microsoft,47.67398810,-122.12151200,"$125,800,000,000",2030,"In Policy Document",Yes,No,Yes,Yes,https://blogs.microsoft.com/blog/2020/01/16/microsoft-will-be-carbon-negative-by-2030/,PR,No,Yes,"CDP, SBTi"
Siemens,48.09007060,11.66749980,"$95,000,000,000",2030,"In Policy Document",Yes,No,Yes,No,https://www.siemens.com/investor/pool/en/investor_relations/siemens_sustainability_information2018.pdf,PR,Yes,Yes,"CDP, SBTi"
Skanska,59.32932350,18.06858080,"$18,700,000,000",2045,"In Policy Document",Yes,No,No,Yes,https://www.skanska.co.uk/about-skanska/sustainability/carbon/carbon-reduction-targets2/,PR,No,Yes,"CDP, SBTi"
